boundary,selected_pair_count,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,ending_wealth,positive_period_fraction
55 25 20,1,0.03443991637458632,0.07613822945876249,0.48295563363346067,0.3266233459169563,-0.15829731612972675,1.1039482784289267,0.16847826086956522
60 20 20,2,0.0185577967264412,0.057484802726365296,0.3486328061501714,0.34609089994850645,-0.07505854580430127,1.0551719764778547,0.3111413043478261
65 15 20,2,0.0185577967264412,0.057484802726365296,0.3486328061501714,0.34609089994850645,-0.07505854580430127,1.0551719764778547,0.3111413043478261
