dependent,independent,adf_statistic,adf_pvalue,half_life,hedge_ratio,adjusted_pvalue,peer_group,family_adjusted_pvalue
BAC,JPM,-4.170654460091621,0.0007384553600544316,65.29663863589994,1.0142908750624517,0.002215366080163295,Banks,0.0066460982404898845
PEP,KO,-3.81650093829497,0.0027429296760691627,52.58703044304755,1.49414083740281,0.0027429296760691627,Beverages,0.012343183542311233
LOW,HD,-2.911112031727549,0.04407099457662844,81.23146741534313,0.8980214820603111,0.04407099457662844,Home improvement,0.13221298372988532
MA,V,-2.172631236023737,0.21632824083269925,98.7604452887541,1.0661443272264919,0.21632824083269925,Payments,0.3862388858196437
CVX,XOM,-2.0681991542072566,0.25749259054642915,149.7695257130016,0.39129738417584625,0.34989332033095993,Integrated energy,0.3862388858196437
COP,XOM,-2.0905072981860098,0.24834875705406,170.43697424094125,0.722160877875847,0.34989332033095993,Integrated energy,0.3862388858196437
COP,CVX,-1.86251930356013,0.3498933203309599,188.61007375868624,0.9112453160603727,0.34989332033095993,Integrated energy,0.4498628404255198
WFC,JPM,-0.06456145803350241,0.9528559349610797,1549.9257491985654,0.3550709070079035,0.9751065114596306,Banks,0.9751065114596307
WFC,BAC,0.25347887865559887,0.9751065114596306,inf,0.37213670852875935,0.9751065114596306,Banks,0.9751065114596307
